"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
11,"The Harbour Club (bar)","  The Harbour Club (bar), The Harbour Club, Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HG","BN43 5HG","LN/200500321",NA,"Alcohol ON Sales/Supply",NA,NA,-0.263153,50.829559
12,"The Joyful Whippet","  The Joyful Whippet, Steepdown Road, Sompting, West Sussex, BN15 0LJ","BN15 0LJ","LN/200500337",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.335547,50.83949
13,"The Longshore","  The Longshore, The Longshore, 153 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5LD","BN43 5LD","LN/200500331",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.289527,50.827484
14,"The Marlipins Public House","  The Marlipins Public House, 38 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/200500341",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.275634,50.831893
15,"The Mooring","  The Mooring, Emerald Quay Club, Emerald Quay, Shoreham-By-Sea, West Sussex, BN43 5JP","BN43 5JP","LN/200600097",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.26541,50.830357
16,"The New Port Arms","  The New Port Arms, Lady Bee Marina, Albion Street, Southwick, West Sussex, BN42 4EG","BN42 4EG","LN/200500289",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.23645,50.831266
17,"The New Sussex Hotel","  The New Sussex Hotel, The New Sussex Hotel, 182 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200500347",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.324553,50.822057
18,"The Old Star Ale & Cider House","  The Old Star Ale & Cider House, Old Star Ale And Cider House, Church Street, Shoreham-By-Sea, West Sussex, BN43 5DQ","BN43 5DQ","LN/201300262",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.275172,50.832501
19,"The Plaice in the Square","  The Plaice in the Square, 3 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/200500258",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.236313,50.834112
20,"The Railway Inn","  The Railway Inn, 1 North Road, Lancing, West Sussex, BN15 9AH","BN15 9AH","LN/200500360",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply",NA,-0.322829,50.827817
21,"The Red Lion","  The Red Lion, Old Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 5TE","BN43 5TE","LN/200500357",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.284523,50.838113
22,"The Romans Hotel","  The Romans Hotel, Manor Hall Road, Southwick, West Sussex, BN42 4NG","BN42 4NG","LN/200500362",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.229851,50.836757
23,"The Ropetackle Centre","  The Ropetackle Centre, Little High Street, Shoreham-By-Sea, West Sussex, BN43 5EG","BN43 5EG","LN/200700299",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.279074,50.832574
24,"The Schooner","  The Schooner, 146 Albion Street, Southwick, West Sussex, BN42 4AU","BN42 4AU","LN/200500336",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.234285,50.83144
25,"The Stanley Ale House","  The Stanley Ale House, 5 Queensway, Lancing, West Sussex, BN15 9AY","BN15 9AY","LN/201400624",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.321783,50.828825
26,"The Tap House","  The Tap House, Ground Floor, 16-18 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200600051",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.274502,50.832174
27,"Tides Pizzeria","  Tides Pizzeria, 21 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/201800296",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.271918,50.829069
28,"Toast by the Coast","  Toast by the Coast, 8-10 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200700334",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.274502,50.832174
29,"Tom Foolery Coffee Co","  Tom Foolery Coffee Co, 6 High Street, Shoreham-By-Sea, West Sussex, BN43 5DA","BN43 5DA","LN/201600154",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.275634,50.831893
30,"Tosca Prosecco & Tapas Bar","  Tosca Prosecco & Tapas Bar, 20A Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201600342",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.236854,50.834473
31,"Tosca Ristorante","  Tosca Ristorante, 39-41 High Street, Shoreham-By-Sea, West Sussex, BN43 5DD","BN43 5DD","LN/200800232",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.276111,50.831667
1,"Seaside Primary School","  Seaside Primary School, Freshbrook Road, Lancing, West Sussex, BN15 8DL","BN15 8DL","LN/200600001",NA,NA,NA,NA,-0.312834,50.826547
2,"Shell Budgens Shoreham Airport","  Shell Budgens Shoreham Airport, 151 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5LD","BN43 5LD","LN/200500302","Alcohol OFF Sales/Supply",NA,NA,NA,-0.289527,50.827484
3,"Ship Inn","  Ship Inn, Ship Inn, 9 Southwick Street, Southwick, West Sussex, BN42 4AD","BN42 4AD","LN/200500298",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.235345,50.833432
4,"Shoreham Airport Music Festival","  Shoreham Airport Music Festival, Shoreham Airport, Cecil Pashley Way, Lancing, West Sussex, BN43 5FF","BN43 5FF","LN/201500028",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.29223,50.833219
5,"Shoreham Cafe","  Shoreham Cafe, 376 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RE","BN43 6RE","LN/200900167",NA,"Alcohol ON Sales/Supply",NA,NA,-0.268881,50.832884
6,"Shoreham Centre Bar","  Shoreham Centre Bar, The Shoreham Centre, Pond Road, Shoreham-By-Sea, West Sussex, BN43 5WU","BN43 5WU","LN/200500358",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.275314,50.834059
7,"Shoreham Conservative Club","  Shoreham Conservative Club, Conservative Club, Marlborough House, 102-110 High Street, Shoreham-By-Sea, West Sussex, BN43 5DB","BN43 5DB","LN/200500318",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.278177,50.832653
10,"Shoreham News","  Shoreham News, 7 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500273","Alcohol OFF Sales/Supply",NA,NA,"Late Night Refresh",-0.272374,50.83522
11,"Shoreham Rowing Club","  Shoreham Rowing Club, Brighton Road, Shoreham-By-Sea, West Sussex, BN43 6RN","BN43 6RN","LN/200500315",NA,"Alcohol ON Sales/Supply",NA,NA,-0.256947,50.831868
12,"Shoreham Sailing Club","  Shoreham Sailing Club, 223 Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HZ","BN43 5HZ","LN/200500314",NA,"Alcohol ON Sales/Supply",NA,NA,-0.255248,50.82983
13,"Shoreham Service Station","  Shoreham Service Station, Shoreham Service Station, 412-414 Brighton Road, Shoreham-By-Sea, West Sussex, BN43 5DR","BN43 5DR","LN/201200037","Alcohol OFF Sales/Supply",NA,NA,NA,-0.274023,50.832068
14,"Shoreham Snooker Club","  Shoreham Snooker Club, Shoreham Club, 18 West Street, Shoreham-By-Sea, West Sussex, BN43 5WG","BN43 5WG","LN/200500312",NA,"Alcohol ON Sales/Supply",NA,NA,-0.277398,50.833727
15,"Sir Robert Woodard Academy","  Sir Robert Woodard Academy, Sir Robert Woodard Academy, 44 Upper Boundstone Lane, Sompting, West Sussex, BN15 9QZ","BN15 9QZ","LN/200500288",NA,NA,NA,NA,-0.331207,50.834575
16,"Slake Spirits","  Slake Spirits, 14 Feversham Close, Shoreham-By-Sea, West Sussex, BN43 5HD","BN43 5HD","LN/201700119","Alcohol OFF Sales/Supply",NA,NA,NA,-0.25968,50.828635
17,"Slate Restaurant","  Slate Restaurant, 274 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BF","BN43 6BF","LN/200500333","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.26028,50.841513
18,"Sompting Community Centre","  Sompting Community Centre, Harriet Johnson Centre, 18 Loose Lane, Sompting, West Sussex, BN15 0BG","BN15 0BG","LN/200500266",NA,NA,NA,NA,-0.345547,50.833832
19,"Sompting Convenience Store","  Sompting Convenience Store, 117-119 Sompting Road, Lancing, West Sussex, BN15 9LG","BN15 9LG","LN/200500221","Alcohol OFF Sales/Supply",NA,NA,NA,-0.332203,50.82814
20,"Sompting Mini Market","  Sompting Mini Market, 5 Seadown Parade, 16 Bowness Avenue, Sompting, West Sussex, BN15 9TP","BN15 9TP","LN/200500294","Alcohol OFF Sales/Supply",NA,NA,NA,-0.34004,50.826928
21,"Sompting Supermarket","  Sompting Supermarket, 8 Seadown Parade, 16 Bowness Avenue, Sompting, West Sussex, BN15 9TP","BN15 9TP","LN/200800057","Alcohol OFF Sales/Supply",NA,NA,NA,-0.34004,50.826928
22,"Sompting Village Hall","  Sompting Village Hall, West Street, Sompting, West Sussex, BN15 0BE","BN15 0BE","LN/200700154",NA,NA,NA,NA,-0.345921,50.834494
23,"Southlands Post Office & Store","  Southlands Post Office & Store, 272 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BF","BN43 6BF","LN/200500271","Alcohol OFF Sales/Supply",NA,NA,NA,-0.26028,50.841513
24,"Southwick Beer EnGINe","  Southwick Beer EnGINe, Southwick Beer Engine, 2 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201800086",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.236854,50.834473
26,"Southwick Football Club","  Southwick Football Club, Old Barn Way, Southwick, West Sussex, BN42 4NT","BN42 4NT","LN/200500342",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.224404,50.834345
27,"Southwick Sports and Social Club","  Southwick Sports and Social Club, 11 The Twitten, Southwick, West Sussex, BN42 4DB","BN42 4DB","LN/200500326",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.236566,50.833819
28,"Spotted Cow","  Spotted Cow, Church Farm, Coombes Road, Coombes, West Sussex, BN15 0RS","BN15 0RS","LN/200500366",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.308272,50.861222
