"Licence_number","Name","Address","Postcode","Reference","Alcohol OFF Sales/Supply","Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh","longitude","latitude"
1,"Naaz Tandoori","  Naaz Tandoori, 14-16 North Road, Lancing, West Sussex, BN15 9AE","BN15 9AE","LN/200500280",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.322417,50.827386
1,"MacFarlanes Newsagents","  MacFarlanes Newsagents, 21 Southwick Square, Southwick, West Sussex, BN42 4FP","BN42 4FP","LN/201400729","Alcohol OFF Sales/Supply",NA,NA,NA,-0.236313,50.834112
2,"Magnet News","  Magnet News, 34 Crabtree Lane, Lancing, West Sussex, BN15 9PQ","BN15 9PQ","LN/200600547","Alcohol OFF Sales/Supply",NA,NA,NA,-0.320747,50.831976
3,"Manor Road Service Station","  Manor Road Service Station, Manor Road Service Station, 96 Manor Road, Lancing, West Sussex, BN15 0HL","BN15 0HL","LN/200500293","Alcohol OFF Sales/Supply",NA,NA,NA,-0.328494,50.837735
4,"Mansell Road Post Office And News","  Mansell Road Post Office And News, 61 Mansell Road, Shoreham-By-Sea, West Sussex, BN43 6GT","BN43 6GQ","LN/200500222","Alcohol OFF Sales/Supply",NA,NA,NA,-0.25461,50.837022
5,"Marks And Spencers","  Marks And Spencers, Marks And Spencers Plc, Holmbush Centre, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TD","BN43 6TD","LN/201100128",NA,NA,"Alcohol ON&OFF Sales/Supply",NA,-0.251892,50.842098
6,"Marquis Of Granby","  Marquis Of Granby, West Street, Sompting, West Sussex, BN15 0AP","BN15 0AP","LN/200500353",NA,"Alcohol ON Sales/Supply","Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.353147,50.83456
7,"McDonalds","  McDonalds, 2 Eastern Avenue, Shoreham-By-Sea, West Sussex, BN43 6PW","BN43 6PW","LN/200700386",NA,NA,NA,"Late Night Refresh",-0.264335,50.833302
8,"Meze-Meze","  Meze-Meze, 170-172 South Street, Lancing, West Sussex, BN15 8AU","BN15 8AU","LN/200600505",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.324553,50.822057
9,"Middle Road Off Licence","  Middle Road Off Licence, 1 Middle Road, Shoreham-By-Sea, West Sussex, BN43 6GA","BN43 6GA","LN/200900022","Alcohol OFF Sales/Supply",NA,NA,NA,-0.261063,50.836129
10,"Miller and Carter","  Miller and Carter, 43 Manor Road, Lancing, West Sussex, BN15 0EY","BN15 0EY","LN/200500328",NA,NA,"Alcohol ON&OFF Sales/Supply","Late Night Refresh",-0.321246,50.837903
11,"Mulberrys","  Mulberrys, 38 South Street, Lancing, West Sussex, BN15 8AG","BN15 8AG","LN/200500242","Alcohol OFF Sales/Supply",NA,NA,NA,-0.323213,50.826204
12,"Mulberrys","  Mulberrys, 10 Kent Close, Shoreham-By-Sea, West Sussex, BN43 6LQ","BN43 6LQ","LN/200500262","Alcohol OFF Sales/Supply",NA,NA,NA,-0.249184,50.835142
13,"Mulberrys","  Mulberrys, 42 Crabtree Lane, Lancing, West Sussex, BN15 9PQ","BN15 9PQ","LN/201100047","Alcohol OFF Sales/Supply",NA,NA,NA,-0.320747,50.831976
1,"La Galleria Restaurant","  La Galleria Restaurant, 22 East Street, Shoreham-By-Sea, West Sussex, BN43 5ZE","BN43 5ZE","LN/200500282",NA,"Alcohol ON Sales/Supply",NA,"Late Night Refresh",-0.274502,50.832174
