Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6470,Licensing Act 2003,Premises Licence,Granted,Favourite Uk Pizza Ltd,,Favourite Pizza,"8A High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",05/03/2018,,Arun
6483,Licensing Act 2003,Premises Licence,Granted,Punch Partnerships (PTL) Ltd,,Red Lion,"The Red Lion, 45, High Street, Arundel, West Sussex, BN18 9AG",05/03/2018,,Arun
6484,Licensing Act 2003,Premises Licence,Granted,Mrs Yuen Ting Wylie Bayley,,China Dragon Takeaway,"12, ROYAL PARADE, Central Avenue, Bersted, BOGNOR REGIS, West Sussex, PO21 5AJ",28/06/2013,,
6486,Licensing Act 2003,Premises Licence,Granted,Bognor Freemasons Hall Ltd,,Gordon Centre (masonic Hall),"MASONIC HALL, 9, Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW",24/11/2005,,Arun
6490,Licensing Act 2003,Premises Licence,Granted,Tracey Elizabeth Coombs,,Waterloo Inn,"WATERLOO INN, 14, Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1SU",09/08/2011,,Arun
6499,Licensing Act 2003,Premises Licence,Granted,Mr J Mcelhatton & Mrs D Mcelhatton,,The Windmill,"THE WINDMILL INN, Mill Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 3JN",21/02/2014,,
6503,Licensing Act 2003,Premises Licence,Granted,Mr Graham Abbot,,Climping Village Hall,"Climping Village Hall, Bridge Road, Climping, Littlehampton, West Sussex, BN17 5SN",04/11/2011,,
6519,Licensing Act 2003,Premises Licence,Granted,Leisureplex Ltd,,Royal Norfolk Hotel,"The Royal Norfolk Hotel, The Esplanade, Bognor Regis, West Sussex, PO21 2LH",11/09/2017,,Arun
6529,Licensing Act 2003,Premises Licence,Granted,Angmering Village Hall Trustee,,Angmering Village Hall,"ANGMERING VILLAGE HALL, Station Road, Angmering, West Sussex",24/11/2005,,
6537,Licensing Act 2003,Premises Licence,Granted,Felpham George Inn Ltd,,The George Inn,"THE GEORGE, 102, Felpham Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7PL",22/09/2009,,Arun
6541,Licensing Act 2003,Premises Licence,Granted,The Littlehampton Academy,,Littlehampton Academy,"THE LITTLEHAMPTON ACADEMY, Fitzalan Road, LITTLEHAMPTON, West Sussex, BN17 6FE",29/04/2010,,
6560,Licensing Act 2003,Premises Licence,Granted,Sunny Garden,,Sunny Garden,"31 Station Road, Bognor Regis, West Sussex, PO21 1QD",25/01/2017,,Arun
6567,Licensing Act 2003,Premises Licence,Granted,Spirit Pub Company (Services) Ltd,,The Martlets,"THE MARTLETS PUBLIC HOUSE, Aldwick Road, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AD",17/03/2016,,
6569,Licensing Act 2003,Premises Licence,Granted,East Preston Parish Council,,East Preston Village Hall / Bay Tree Lunch Club,"VILLAGE HALL, Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1LP",02/04/2013,,
6575,Licensing Act 2003,Premises Licence,Granted,Messrs K Miah & A Hoque,,Bengal Tandoori,"116 - 120 Downs Way, East Preston, LITTLEHAMPTON, West Sussex, BN16 1AF",24/11/2005,,
