Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
7027,Licensing Act 2003,Premises Licence,Granted,Wealden Leisure Ltd,,Arun Leisure Centre,"ARUN LEISURE CENTRE, Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8ED",01/04/2016,,
7040,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Langmeads Recreation Ground,"RECREATION GROUND, Sea Road, East Preston, West Sussex",01/03/2006,,
7041,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,,"KING GEORGE V RECREATION GROUND, Summerley Lane, Felpham, West Sussex",01/03/2006,,
7042,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Sp8 Sampling Site,"WEST PARK, Silverston Avenue, Aldwick, West Sussex",01/03/2006,,
7043,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,,"AVISFORD RECREATION GROUND, Nyetimber Lane, Aldwick, West Sussex",01/03/2006,,
7044,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Caffyns Field,"CAFFYNS FIELD, St Catherines Road, Littlehampton, West Sussex",01/03/2006,,
7045,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,,"STREET RECORD, The Promenade, Littlehampton, West Sussex",25/06/2013,,
7046,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Hampshire Avenue Recreation Ground,"HAMPSHIRE AVENUE RECREATION GROUND, Hampshire Avenue, Bognor Regis, West Sussex",01/03/2006,,
7047,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Hotham Park & Band Stand,"HOTHAM PARK, High Street, Bognor Regis, West Sussex",01/03/2006,,
7049,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,,"JUBILEE GARDENS, Mill Road, Arundel, West Sussex",01/03/2006,,
7050,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Southfields Recreation Ground,"SOUTHFIELDS RECREATION GROUND, Southfields Road, Littlehampton, West Sussex",01/03/2006,,
7051,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,,"BEACON BRAZIER, The Esplanade, Bognor Regis, West Sussex",01/03/2006,,
7096,Licensing Act 2003,Premises Licence,Granted,Mrs Rosemary Jane Appleby,,Bishop Tufnell School,"BISHOP TUFNELL C OF E JUNIOR AND INFANT SCHOOL, Pennyfields, Felpham, BOGNOR REGIS, West Sussex, PO22 6BN",03/04/2006,,
7207,Licensing Act 2003,Premises Licence,Granted,University Of Chichester,,University College Chichester - Bognor Campus,"UNIVERSITY OF CHICHESTER, Upper Bognor Road, BOGNOR REGIS, West Sussex, PO21 1HR",16/05/2017,,Arun
7209,Licensing Act 2003,Premises Licence,Granted,Mr Fook Seaw,,Penang Village,"106 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN",12/06/2006,,
7348,Licensing Act 2003,Premises Licence,Granted,Westergate Community School Campus,,Westergate Community School / Ormiston Academy,"ORMISTON SIX VILLAGES ACADEMY, Lime Avenue, Aldingbourne, CHICHESTER, West Sussex, PO20 3UE",18/08/2006,,
7461,Licensing Act 2003,Premises Licence,Granted,Mrs T H Jago,,Elm Grove Road County Infants,"Littlehampton Day Nursery, Elm Grove Road, Littlehampton, West Sussex, BN17 6AH",17/10/2006,,
7515,Licensing Act 2003,Premises Licence,Suspended,Mr Allaeddin Saidee,,Mace Express,"1, Houghton House, Kimberry, Littlehampton, West Sussex, BN17 7JD",22/04/2015,,Arun
7558,Licensing Act 2003,Premises Licence,Granted,The Governing Body,,Walberton Binsted C Of E P School,"WALBERTON AND BINSTEAD CHURCH OF ENGLAND SCHOOL, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PH",17/11/2006,,
7681,Licensing Act 2003,Premises Licence,Granted,Haskins Garden Centres Limited,,Haskins Roundstone Garden Centre,"HASKINS ROUNDSTONE, Roundstone-by-pass, Angmering, LITTLEHAMPTON, West Sussex, BN16 4BD",06/12/2010,,
7719,Licensing Act 2003,Premises Licence,Granted,Arun Community Church,,Wickbourne Centre Refresh Trading Ltd,"THE WICKBOURNE CENTRE, Clun Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7DZ",08/03/2007,,
7784,Licensing Act 2003,Premises Licence,Granted,Bognor Regis Town Council,,Bognor Regis Town Council,"STREET RECORD, London Road, Bognor Regis, West Sussex",21/04/2016,,
7869,Licensing Act 2003,Premises Licence,Granted,Baker & Burns Ltd,,Honeypot Cafe,"19 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RD",07/04/2015,,
7942,Licensing Act 2003,Premises Licence,Granted,Mr Rachen Norraphuthon,,Bangkok Lounge,"73 High Street, BOGNOR REGIS, West Sussex, PO21 1RZ",11/04/2013,,
7947,Licensing Act 2003,Premises Licence,Granted,Mr N K J Patel & Mrs S M Patel,,Walberton News,"1, MAPLE PARADE SHOPS, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PR",15/03/2011,,
8011,Licensing Act 2003,Premises Licence,Granted,Mr Pradipkumar Patel,,The Cabin,"1A, NORFOLK HOUSE, Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HZ",20/09/2007,,
8198,Licensing Act 2003,Premises Licence,Granted,Mr Pragneshkumar Patel,,The Corner Store,"39 - 41 Horsham Road, LITTLEHAMPTON, West Sussex, BN17 6DB",21/01/2014,,
8328,Licensing Act 2003,Premises Licence,Granted,Mr D M Sulimierski,,Queensway,"16 Queensway, Bognor Regis, West Sussex, PO21 1QT",18/03/2016,,Arun
8334,Licensing Act 2003,Premises Licence,Granted,Arun District Council,,Mewsbrook Park Boating Kiosk,"MEWSBROOK PARK, Hendon Avenue, Littlehampton, West Sussex",01/04/2008,,
8337,Licensing Act 2003,Premises Licence,Granted,Mr Jamie Hawkins,,Coastal Coffee Co Ltd,"2, CHURCHILL PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DJ",03/04/2008,,
8483,Licensing Act 2003,Premises Licence,Suspended,Hammerpot Brewery Ltd,,Hammerpot Brewery Ltd,"UNIT, 30, THE VINERY, Arundel Road, Poling, ARUNDEL, West Sussex, BN18 9PY",29/07/2008,,Arun
8744,Licensing Act 2003,Premises Licence,Granted,Ms S Elliott,,Partners Cafe,"25A - 25B High Street, Arundel, West Sussex, BN18 9AD",16/03/2009,,
8897,Licensing Act 2003,Premises Licence,Granted,North Bersted Youth & Communit,,North Bersted Youth & Community Centre,"14 North Bersted Street, Bersted, BOGNOR REGIS, West Sussex, PO22 9AD",10/07/2009,,
8958,Licensing Act 2003,Premises Licence,Granted,Angmering Community Ctr Assc,,Angmering Community Centre,"ANGMERING COMMUNITY CENTRE, Foxwood Avenue, Angmering, LITTLEHAMPTON, West Sussex, BN16 4FU",31/07/2009,,Arun
9139,Licensing Act 2003,Premises Licence,Granted,Age Uk West Sussex,,Tamarisk Centre,"Tamarisk Centre, 42, Beach Road, Littlehampton, West Sussex, BN17 5HT",15/09/2009,,
9140,Licensing Act 2003,Premises Licence,Granted,Age Uk West Sussex,,Laburnum Centre,"LABURNUM CENTRE, Lyon Street, BOGNOR REGIS, West Sussex, PO21 1UX",15/09/2009,,
9188,Licensing Act 2003,Premises Licence,Granted,Bognor Regis Town Football Club,,Seasons,"BOGNOR REGIS FOOTBALL CLUB, Nyewood Lane, BOGNOR REGIS, West Sussex, PO21 2TY",28/07/2017,,
9290,Licensing Act 2003,Premises Licence,Surrendered,Fusion Events Group Uk Limited,,Fusion Events Group Uk Ltd,"2 Lennox Street, BOGNOR REGIS, West Sussex, PO21 1LZ",06/12/2017,,Arun
9352,Licensing Act 2003,Premises Licence,Granted,Divyesh Patel & Kirit Patel,,Wick Newsagents,"137 Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JY",22/12/2009,,
9410,Licensing Act 2003,Premises Licence,Granted,E P Tarbard,,Barnham Parish Hall,"BARNHAM COMMUNITY HALL, Yapton Road, Barnham, BOGNOR REGIS, West Sussex, PO22 0AY",16/01/2010,,
9665,Licensing Act 2003,Premises Licence,Lapsed,Baltic Express Ltd,,Baltic Express,"4, TRUE BLUE PRECINCT, Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JN",08/04/2015,,Arun
9683,Licensing Act 2003,Premises Licence,Granted,L C Baxter & J Jacobs,,Arundel Jailhouse,"Undercroft, Town Hall, Maltravers Street, Arundel, West Sussex, BN18 9AP",06/06/2010,,
9703,Licensing Act 2003,Premises Licence,Granted,Wickbourne County Infant School,,Chartwells At White Meadows Primary Academy,"White Meadows Primary School, Whitelea Road, Littlehampton, West Sussex, BN17 7JL",14/06/2010,,
9778,Licensing Act 2003,Premises Licence,Granted,Peter Lee & Mabella Lee-Hang,,Chopsticks Restaurant,"9 - 11 Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HZ",21/07/2010,,
9826,Licensing Act 2003,Premises Licence,Granted,Mr Barjindar Singh Majhail,,News Plus,"STORE REAR OF 9 STATION PARADE, Station Road, Rustington, West Sussex",02/08/2010,,Arun
9851,Licensing Act 2003,Premises Licence,Granted,Mr Robin Parker,,,"STREET RECORD, The Esplanade, Bognor Regis, West Sussex",03/06/2013,,Arun
10000,Licensing Act 2003,Premises Licence,Granted,Mr Chandran Sasikumar,,Grande Wines Ltd,"27 Nyewood Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QB",19/10/2017,,Arun
10082,Licensing Act 2003,Premises Licence,Granted,Mr Virginijus Andriejauskas,,Silas,"21 Beach Road, LITTLEHAMPTON, West Sussex, BN17 5JA",21/07/2015,,Arun
10106,Licensing Act 2003,Premises Licence,Granted,Mr A Noor,,So India,"SO INDIA RESTAURANT, THE CORNER HOUSE, Station Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3AF",07/01/2011,,
10138,Licensing Act 2003,Premises Licence,Granted,Miss Denise Ann Bull,,Local Offie,"8, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ",06/02/2018,,
10176,Licensing Act 2003,Premises Licence,Granted,Mrs P & Mr N Ravikumar,,Premier,"3, THE PANTILES, Ferringham Lane, Ferring, WORTHING, West Sussex, BN12 5NE",19/01/2011,,
10218,Licensing Act 2003,Premises Licence,Surrendered,Charles Helen & Richard Gascoigne-Pees,,Gaskyns,"6 Queen Street, Arundel, West Sussex, BN18 9JG",15/08/2011,,Arun
10227,Licensing Act 2003,Premises Licence,Granted,Empress Leisure Ltd,,Empress,"THE EMPRESS, BALTIC WHARF, Pier Road, LITTLEHAMPTON, West Sussex, BN17 5AD",05/08/2013,,
10246,Licensing Act 2003,Premises Licence,Granted,Mrs M Griggs-Harvey,,Pagham Beach Cafe,"1 Harbour Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4SS",07/03/2011,,Arun
10354,Licensing Act 2003,Premises Licence,Lapsed,Chichester Events Ltd,,Knights Table,"61 High Street, Arundel, West Sussex, BN18 9AJ",13/08/2018,,Arun
10364,Licensing Act 2003,Premises Licence,Granted,Mr Mark Edwin Lynch,,Toast,"FIRST FLOOR FLAT, 2 Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL",27/04/2011,,Arun
10418,Licensing Act 2003,Premises Licence,Granted,Mrs Carole Ward / Clerk of the Council,,Woodlands Centre,"Rustington Parish Council Offices, 34, Woodlands Avenue, Rustington, Littlehampton, West Sussex, BN16 3EY",26/05/2011,,
10528,Licensing Act 2003,Premises Licence,Granted,Jahangir Hussain,,Cinnamon,"2, NORFOLK HOUSE, Beach Road, LITTLEHAMPTON, West Sussex, BN17 5HY",19/09/2011,,Arun
10673,Licensing Act 2003,Premises Licence,Granted,Mr Awal Mahmmued,,Basmati Restaurant,"BASMATI RESTAURANT, Nyton Road, Westergate, CHICHESTER, West Sussex, PO20 3UG",23/09/2011,,Arun
10806,Licensing Act 2003,Premises Licence,Granted,Mrs Sharyn Ann Towers,,Waterside Cafe,"THE WATERSIDE, Mill Road, ARUNDEL, West Sussex, BN18 9PA",21/11/2016,,
10818,Licensing Act 2003,Premises Licence,Granted,East Preston & Kingston Conservative Branch,,Conservative Hall - East Preston,"THE CONSERVATIVE CLUB, 41, Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN",02/11/2011,,Arun
10835,Licensing Act 2003,Premises Licence,Granted,Arun Sports Arena Ford Limited - Football Ltd,,Arun Sports Arena Ltd,"Southern Grainstore, Ford Airfield Industrial Estate, Rollaston Park, Ford, Arundel, West Sussex, BN18 0HY",18/03/2016,,Arun
10881,Licensing Act 2003,Premises Licence,Granted,The Aldingbourne Trust,,Aldingbourne Country Centre,"Aldingbourne Country Centre, Blackmill Lane, Aldingbourne, Chichester, West Sussex, PO18 0JP",29/07/2016,,
10884,Licensing Act 2003,Premises Licence,Suspended,Mr Colin John Bradshaw,,Clock House Deli,"7, THE PARADE, Willowhayne Crescent, East Preston, LITTLEHAMPTON, West Sussex, BN16 1NS",07/04/2015,,Arun
10954,Licensing Act 2003,Premises Licence,Granted,Madehurst Cricket Club,,Madehurst Cricket Club,"THE MADEHURST BOWL, NEW BARN FARM, Madehurst Road, Madehurst, West Sussex",23/12/2011,,Arun
11211,Licensing Act 2003,Premises Licence,Granted,5th Littlehampton Sea Scouts,,Gordon Hall - 5th Littlehampton Sea Scouts,"SEA SCOUTS HEADQUARTERS, Lineside Way, Littlehampton, West Sussex",04/05/2012,,
11491,Licensing Act 2003,Premises Licence,Granted,Hasan Gulsen,,Sibel's Mini Market,"75 Hawthorn Road, BOGNOR REGIS, West Sussex, PO21 2BS",22/10/2012,,
11668,Licensing Act 2003,Premises Licence,Granted,Mrs Debbie Jenkins,,Classics Cafe,"31 High Street, Littlehampton, West Sussex, BN17 5EG",21/11/2012,,
11694,Licensing Act 2003,Premises Licence,Granted,South Coast Foods Ltd,,Mcdonalds,"1A Oldlands Way, Bersted, BOGNOR REGIS, West Sussex, PO22 9SD",21/02/2018,,
11703,Licensing Act 2003,Premises Licence,Granted,Jeneses Limited - Jeneses Community Arts Centre,,Jeneses Arts Centre,"45 Linden Road, BOGNOR REGIS, West Sussex, PO21 2AP",12/11/2012,,Arun
11865,Licensing Act 2003,Premises Licence,Granted,Monte Laguna Ltd,,Domino's Pizza,"9, Wick Parade, Wick Street, Littlehampton, West Sussex, BN17 7JQ",21/01/2013,,Arun
12184,Licensing Act 2003,Premises Licence,Surrendered,Mrs Maria Whitehouse,,Sussex Heritage Centre,"Sussex Heritage Centre, Sefton Place, Warningcamp, Arundel, West Sussex, BN18 9QY",19/06/2013,,Arun
12230,Licensing Act 2003,Premises Licence,Granted,Mr Toby Jenkin,,Long Furlong Barn,"LONG FURLONG BARN, Long Furlong, Clapham, WORTHING, West Sussex, BN13 3XN",22/12/2014,,Arun
12253,Licensing Act 2003,Premises Licence,Suspended,Arundel Festival Ltd - Arundel Town Council,,Arundel Festival,"Street Record, Mill Road, Arundel, West Sussex, BN18 9AD",15/08/2013,,Arun
12574,Licensing Act 2003,Premises Licence,Granted,Ilex Inns Ltd,,The Holly Tree Pub,"THE HOLLY TREE INN, The Street, Walberton, ARUNDEL, West Sussex, BN18 0PH",26/09/2017,,Arun
12605,Licensing Act 2003,Premises Licence,Granted,Zain PH Ltd,,Pizza Hut Delivery,"31 - 33 Queensway, Bognor Regis, West Sussex, PO21 1QN",30/04/2018,,Arun
12872,Licensing Act 2003,Premises Licence,Granted,Arundel Museum Society Ltd,,Arundel Museum & Heritage Centre,"ARUNDEL MUSEUM, Mill Road, ARUNDEL, West Sussex, BN18 9PA",01/04/2014,,
12885,Licensing Act 2003,Premises Licence,Surrendered,Mr Jayesh Dahyalal Purshottam,,Jay's,"47 Horsham Road, LITTLEHAMPTON, West Sussex, BN17 6DB",25/03/2014,,
12898,Licensing Act 2003,Premises Licence,Granted,Juris Frolovs & Kristine Ayers,,Cake Heaven,"110 London Road, Bognor Regis, West Sussex, PO21 1BD",20/09/2017,,
12978,Licensing Act 2003,Premises Licence,Granted,Wealden Leisure Ltd,,Bersted Park Community Centre / Dizzy Ducklings,"BERSTED PARK COMMUNITY CENTRE, Lakeland Avenue, Bersted, BOGNOR REGIS, West Sussex, PO21 5FF",01/04/2016,,
13032,Licensing Act 2003,Premises Licence,Suspended,Sparks Yard General Stores Ltd,,Sparks Yard General Store,"SPARKS YARD, 18, Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ",05/06/2014,,Arun
13173,Licensing Act 2003,Premises Licence,Granted,Out Of Bounds (Rustington) Ltd,,Out Of Bounds,"ACTIVITY CENTRE, RUSTINGTON GOLF CENTRE, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB",02/11/2015,,
13214,Licensing Act 2003,Premises Licence,Granted,Mr Mm M Soni,,Ferring News,"96 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP",02/03/2017,,Arun
13367,Licensing Act 2003,Premises Licence,Granted,Mr Mujib Rahman,,So India,"INDIA RAJ, 43 Felpham Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8PT",16/10/2014,,Arun
13495,Licensing Act 2003,Premises Licence,Granted,Sweetpeas And Honeybees Boutique Florist,,Sweet Peas & Honey Bees,"13A North Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 3PF",17/12/2014,,
13714,Licensing Act 2003,Premises Licence,Surrendered,Miss Natalja Repiach,,Wynata,"2 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE",20/05/2015,,Arun
13748,Licensing Act 2003,Premises Licence,Granted,The Gravy Boat Limited,,The Gravy Boat,"46 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LW",06/05/2015,,
13780,Licensing Act 2003,Premises Licence,Surrendered,Mccoll Ltd,,Mccolls,"1, AVISFORD TERRACE, Rose Green Road, Aldwick, BOGNOR REGIS, West Sussex, PO21 3HB",04/07/2016,,Arun
13980,Licensing Act 2003,Premises Licence,Granted,Mr Barzan Aubid,,Baltic,"3 Richmond Road, Bognor Regis, West Sussex, PO21 1BU",14/10/2015,,Arun
14035,Licensing Act 2003,Premises Licence,Granted,The Contented Pig Pub Co Ltd,,Littlehampton Brewery,"THE TAP AND BARREL, Duke Street, LITTLEHAMPTON, West Sussex, BN17 6EU",14/08/2015,,
14162,Licensing Act 2003,Premises Licence,Granted,Gusto Wines Ltd,,Gusto Wines Ltd,"UNIT 6, FORD LANE BUSINESS PARK, Ford Lane, Ford, ARUNDEL, West Sussex, BN18 0UZ",23/10/2015,,
14792,Licensing Act 2003,Premises Licence,Granted,The Seriously Good Pub Company Ltd,,The Burger Shop,"14 High Street, Arundel, West Sussex, BN18 9AF",17/08/2016,,Arun
15093,Licensing Act 2003,Premises Licence,Granted,Mr Kamyab Sahraee,,Premier Wishfield,"1 Wood Hill Way, Felpham, BOGNOR REGIS, West Sussex, PO22 8GJ",17/01/2017,,Arun
15150,Licensing Act 2003,Premises Licence,Granted,Mr Ali Celik,,Bahar Kebab & Pizza,"25 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BD",10/02/2017,,
15373,Licensing Act 2003,Premises Licence,Surrendered,Green Food Market Ltd,,Green Food Market,"33 Chichester Road, BOGNOR REGIS, West Sussex, PO21 2XH",02/06/2017,,Arun
15652,Licensing Act 2003,Premises Licence,Suspended,Mr Ricardo Faidiga,,Tropical Gourmet,"48A High Street, Littlehampton, West Sussex, BN17 5ED",25/09/2017,,Arun
15692,Licensing Act 2003,Premises Licence,Lapsed,Sauropods - The Vegetarian & Vegan Hamper Company Ltd,,Sauropods - Vegan & Vegetarian Hamper Company Ltd,"3 Highdown Drive, LITTLEHAMPTON, West Sussex, BN17 6HJ",01/11/2017,,Arun
15763,Licensing Act 2003,Premises Licence,Granted,Mr David R Bees & Siobhan M Bees,,2 Suns,"5 Biscay Close, LITTLEHAMPTON, West Sussex, BN17 6SW",23/10/2017,,Arun
15780,Licensing Act 2003,Premises Licence,Granted,Mr William Richard Cole,,Bognor Regis Visitor Centre,"TOURIST INFORMATION CENTRE, 1 - 2, PLACE ST MAUR DES FOSSES, Belmont Street, BOGNOR REGIS, West Sussex, PO21 1BJ",24/11/2017,,
15781,Licensing Act 2003,Premises Licence,Granted,Mr Val St John Capon,,Selden Farm B & B,"SELDEN BARNS, SELDEN FARM, Selden Lane, Patching, WORTHING, West Sussex, BN13 3UL",15/12/2017,,
16127,Licensing Act 2003,Premises Licence,Granted,Just Burgers Ltd,,Burgers & Dogs,"51 Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP",07/03/2018,,Arun
16131,Licensing Act 2003,Premises Licence,Granted,Friends Of Arundel Castle Cricket Club Ltd,,Friends Of Arundel Castle Cricket Club,"ARUNDEL CASTLE CRICKET GROUND, ARUNDEL CASTLE, London Road, Arundel, West Sussex",07/03/2018,,Arun
16165,Licensing Act 2003,Premises Licence,Granted,Mr Mustafa Sen,,T Bone Burger Restaurant,"19 High Street, Bognor Regis, West Sussex, PO21 1RJ",21/03/2018,,Arun
16319,Licensing Act 2003,Premises Licence,Granted,Denmans Anew Ltd,,Denmans Anew Ltd,"DENMANS GARDENS, Denmans Lane, Fontwell, West Sussex",05/05/2018,,
16433,Licensing Act 2003,Premises Licence,Granted,Grub And Gumption Limited,,Grub And Gumption,"126 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN",01/07/2018,,
16462,Licensing Act 2003,Premises Licence,Surrendered,Benjamin James & Kerry Fiona Allard,,Fusion Beach Bar,"STREET RECORD, The Esplanade, Bognor Regis, West Sussex",20/06/2018,,Arun
14837,Licensing Act 2003,Premises Licence,Granted,Marston's Plc,,Charlie Purley (Marston's),"THE CHARLIE PURLEY UNIT 2, RAILSIDE RETAIL PARK, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9FL",03/10/2018,,Arun
15661,Licensing Act 2003,Premises Licence,Granted,Broomer Farm Trading Ltd,,The Boathouse,"Boathouse Cafe, Littlehampton Marina, Ferry Road, Littlehampton, West Sussex, BN17 5DS",26/10/2018,,
7107,Licensing Act 2003,Premises Licence,Granted,Arun Arts Company Limited,,The Alexandra,"REGIS CENTRE, Belmont Street, BOGNOR REGIS, West Sussex, PO21 1BL",17/10/2018,,Arun
6709,Licensing Act 2003,Premises Licence,Granted,Miss L Macari & Mrs M Macari,,Fino Restaurant,"3 Flansham Lane, Felpham, BOGNOR REGIS, West Sussex, PO22 6AA",03/04/2019,,Arun
12584,Licensing Act 2003,Premises Licence,Granted,Miss A C H Andrade & Mr B M R Agrela,,Aserio,"14 Beach Road, Littlehampton, West Sussex, BN17 5HT",15/11/2018,,
14482,Licensing Act 2003,Premises Licence,Granted,Mrs Jurgita Skirmantiene,,European Mini Market,"5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW",17/09/2018,,Arun
14482,Licensing Act 2003,Premises Licence,Granted,Mrs Jurgita Skirmantiene,,European Mini Market,"5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW",17/09/2018,,Arun
14482,Licensing Act 2003,Premises Licence,Granted,Mrs Jurgita Skirmantiene,,European Mini Market,"5 Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW",17/09/2018,,Arun
111341,Licensing Act 2003,Premises Licence,Granted,Pagham Cricket Club,,Pagham Cricket Club,"PAGHAM SPORTS GROUND, Nyetimber Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 3JY",11/01/2019,,Arun
7016,Licensing Act 2003,Premises Licence,Granted,Mitchells and Butlers Leisure Retail Limited,,The Old Stables,"THE OLD STABLES VINTAGE INN, Fontwell Avenue, Eastergate, ARUNDEL, West Sussex, BN18 0SY",14/02/2019,,Arun
111385,Licensing Act 2003,Premises Licence,Granted,The Aldingbourne Trust,,Aldingbourne Country Centre,"Aldingbourne Country Centre, Blackmill Lane, Aldingbourne, Chichester, West Sussex, PO18 0JP",13/08/2018,,Arun
6794,Licensing Act 2003,Premises Licence,Suspended,East And West Taverns Ltd,,Tudor Close Public House & Restaurant,"TUDOR CLOSE, Ferringham Lane, Ferring, WORTHING, West Sussex, BN12 5NQ",11/01/2019,,Arun
6492,Licensing Act 2003,Premises Licence,Granted,Mr Shaun Alexander Mustard,,Mustard Restaurants Ltd,"8 - 10 York Road, Bognor Regis, West Sussex, PO21 1LW",16/11/2018,,Arun
6723,Licensing Act 2003,Premises Licence,Granted,Mr Daksheshkumar Jagdishbhai Patel,,Tudor Newsagency & Store,"2, TUDOR BUILDINGS, Aldwick Street, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AW",14/08/2018,,Arun
8520,Licensing Act 2003,Premises Licence,Granted,Miss Elizabeth Court,Mr Matthew John Ward,West Beach Cafe,"Kiosk West Beach, Rope Walk, Littlehampton, West Sussex, BN17 5DL",17/01/2019,,Arun
6936,Licensing Act 2003,Premises Licence,Granted,Mrs Kathryn Anne Bennett,,Priory Playhouse,"THE PLAYHOUSE, ARUNDEL PRIORY, 2, London Road, ARUNDEL, West Sussex, BN18 9FA",08/09/2020,,Arun
5874,Licensing Act 2003,Premises Licence,Granted,Ms Veronica Smith,Mr Mike Lewis,Aldwick Rooms and Restaurant,"ALDWICK HOTEL, 25 Princess Avenue, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QU",25/01/2019,,Arun
6336,Licensing Act 2003,Premises Licence,Granted,Tower Snooker Club (Littlehampton) Limited,,Coco Lounge,"8 - 10 Clifton Road, LITTLEHAMPTON, West Sussex, BN17 5AS",03/02/2019,,Arun
14754,Licensing Act 2003,Premises Licence,Surrendered,Mr George Kendall,,Whisky Vault Auctions Ltd,"OFFICE 2, ROPE HOUSE, Rope Walk, LITTLEHAMPTON, West Sussex, BN17 5DE",03/04/2019,,Arun
6911,Licensing Act 2003,Premises Licence,Granted,Tesco Stores Limited,,Tesco Express,"82 - 84 Aldwick Road, BOGNOR REGIS, West Sussex, PO21 2PE",04/03/2019,,Arun
11612,Licensing Act 2003,Premises Licence,Granted,Mr Satinder Pal Singh,,Capital News,"13 High Street, Littlehampton, West Sussex, BN17 5EG",20/06/2019,,Arun
10628,Licensing Act 2003,Premises Licence,Granted,Haven Leisure Ltd,,Church Farm Holiday Village,"CHURCH FARM HOLIDAY VILLAGE, Church Lane, Pagham, BOGNOR REGIS, West Sussex, PO21 4NR",08/03/2019,,Arun
13401,Licensing Act 2003,Premises Licence,Granted,Marks & Spencer Simply Food Ltd,,Marks & Spencer Simply Food,"UNIT D, ARUN RETAIL PARK, Shripney Road, BOGNOR REGIS, West Sussex, PO22 9NF",17/04/2019,,Arun
6825,Licensing Act 2003,Premises Licence,Granted,Rishi Stores Limited,,The Newsbox,"SOUTH BERSTED STORES AND POST OFFICE, 62, Gordon Avenue, BOGNOR REGIS, West Sussex, PO22 9LS",02/04/2019,,Arun
6463,Licensing Act 2003,Premises Licence,Granted,Eastergate Parish Hall Management,,Eastergate Parish Hall,"EASTERGATE VILLAGE PARISH HALL, Barnham Road, Eastergate, CHICHESTER, West Sussex, PO20 3RP",24/05/2019,,Arun
6686,Licensing Act 2003,Premises Licence,Granted,Bailiffscourt Limited,,Black Horse Inn,"BLACK HORSE INN, Climping Street, Climping, LITTLEHAMPTON, West Sussex, BN17 5RL",24/05/2019,,Arun
8783,Licensing Act 2003,Premises Licence,Granted,Mr Syed Bably Ahmed,,Masala Lounge,"27 Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1JN",18/04/2019,,Arun
14179,Licensing Act 2003,Premises Licence,Granted,Barnham and Eastergate Community Trust,,Barnham Community Hall,"BARNHAM COMMUNITY HALL, Yapton Road, Barnham, BOGNOR REGIS, West Sussex, PO22 0AY",06/05/2019,,Arun
6810,Licensing Act 2003,Premises Licence,Granted,Picturedrome Electric Theatre Company Ltd,,Picturedrome Cinema,"PICTUREDROME CINEMA, 51, Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW",27/04/2019,,Arun
