"Name","Address","Postcode","Reference","longitude","latitude"
"Yun Feng Foods","  Yun Feng Foods, 18 Southwick Square, Southwick, West Sussex, BN42 4FJ","BN42 4FJ","LN/201000013",-0.236854,50.834473
"Water Wellbeing Ltd (Edgars Water)","  Water Wellbeing Ltd (Edgars Water), Unit A1-A3, Dolphin Enterprise Centre, Evershed Way, Shoreham-By-Sea, West Sussex, BN43 6QB","BN43 6QB","LN/201500019",-0.258308,50.83383
"Waterside Inn","  Waterside Inn, Lower Beach Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500317",-0.271918,50.829069
"West Street Loft","  West Street Loft, 20 West Street, Shoreham-By-Sea, West Sussex, BN43 5WG","BN43 5WG","LN/201200062",-0.277398,50.833727
"Windmill Convenience Store","  Windmill Convenience Store, 3-4 Windmill Parade, 163-183 Old Shoreham Road, Southwick, West Sussex, BN42 4QB","BN42 4QB","LN/200500284",-0.233106,50.840457
"V & P Convenience Store","  V & P Convenience Store, 391 Brighton Road, Lancing, West Sussex, BN15 8JX","BN15 8JX","LN/200500274",-0.297227,50.825825
"TeamSport Indoor Karting","  TeamSport Indoor Karting, Unit 2, 30 Chartwell Road, Lancing, West Sussex, BN15 8TU","BN15 8TU","LN/201100150",-0.333711,50.82324
"Tesco","  Tesco, Store, Holmbush Centre, Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6TD","BN43 6TD","LN/200700236",-0.251892,50.842098
"Tesco Express","  Tesco Express, 225 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 6BE","BN43 6BE","LN/201200074",-0.263195,50.839893
"The Amsterdam Inn","  The Amsterdam Inn, 467-471 Upper Shoreham Road, Shoreham-By-Sea, West Sussex, BN43 5WQ","BN43 5WQ","LN/200500343",-0.28541,50.839514
"The Beach Shop","  The Beach Shop, 23-27 Ferry Road, Shoreham-By-Sea, West Sussex, BN43 5RA","BN43 5RA","LN/200500285",-0.271918,50.829069
"The Bridge Inn","  The Bridge Inn, 87 High Street, Shoreham-By-Sea, West Sussex, BN43 5DE","BN43 5DE","LN/200500345",-0.277713,50.832113
"The Buckingham Arms","  The Buckingham Arms, 35 Brunswick Road, Shoreham-By-Sea, West Sussex, BN43 5WA","BN43 5WA","LN/200500352",-0.272847,50.833903
"The Crab Tree","  The Crab Tree, The Crab Tree, 6 Buckingham Road, Shoreham-By-Sea, West Sussex, BN43 5UA","BN43 5UA","LN/200500335",-0.272374,50.83522
"The Crabtree PH","  The Crabtree PH, The Crabtree, 140 Crabtree Lane, Lancing, West Sussex, BN15 9NQ","BN15 9NQ","LN/200500324",-0.329068,50.832392
"The Harbour Club","  The Harbour Club, Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HG","BN43 5HG","LN/200900051",-0.263153,50.829559
"The Harbour Club (bar)","  The Harbour Club (bar), The Harbour Club, Harbour Way, Shoreham-By-Sea, West Sussex, BN43 5HG","BN43 5HG","LN/200500321",-0.263153,50.829559
